iter	Passed	Remaining
582	1315	940
583	1317	938
584	1318	935
585	1320	932
586	1321	929
587	1322	926
588	1324	924
589	1326	921
590	1327	918
591	1329	916
592	1331	913
593	1332	910
594	1334	908
595	1335	905
596	1337	902
597	1339	900
598	1341	897
599	1342	895
600	1344	892
601	1345	889
602	1347	887
603	1348	884
604	1350	881
605	1351	878
606	1353	876
607	1354	873
608	1356	871
609	1358	868
610	1359	865
611	1361	863
612	1362	860
613	1364	857
614	1365	854
615	1367	852
616	1368	849
617	1370	847
618	1371	844
619	1373	841
620	1375	839
621	1377	836
622	1378	834
623	1380	831
624	1381	829
625	1383	826
626	1384	823
627	1386	821
628	1388	818
629	1390	816
630	1391	813
631	1393	811
632	1394	808
633	1396	806
634	1398	803
635	1399	800
636	1401	798
637	1402	795
638	1404	793
639	1405	790
640	1407	788
641	1409	785
642	1410	783
643	1412	780
644	1413	777
645	1414	775
646	1416	772
647	1418	770
648	1419	767
649	1421	765
650	1423	762
651	1424	760
652	1426	757
653	1427	755
654	1428	752
655	1430	750
656	1432	747
657	1433	745
658	1435	742
659	1437	740
660	1438	738
661	1440	735
662	1442	732
663	1443	730
664	1445	728
665	1446	725
666	1448	723
667	1450	720
668	1451	718
669	1453	715
670	1454	713
671	1456	710
672	1457	708
673	1459	705
674	1460	703
675	1462	700
676	1464	698
677	1465	696
678	1467	693
679	1468	691
680	1470	688
681	1471	686
682	1473	683
683	1474	681
684	1476	678
685	1477	676
686	1479	674
687	1481	671
688	1482	669
689	1484	666
690	1485	664
691	1486	661
692	1488	659
693	1490	657
694	1491	654
695	1492	652
696	1494	649
697	1496	647
698	1497	645
699	1499	642
700	1500	640
701	1502	637
702	1503	635
703	1505	632
704	1506	630
705	1508	628
706	1510	625
707	1511	623
708	1513	621
709	1514	618
710	1516	616
711	1517	613
712	1519	611
713	1520	609
714	1522	606
715	1524	604
716	1525	602
717	1527	599
718	1528	597
719	1530	595
720	1531	592
721	1533	590
722	1535	588
723	1536	585
724	1538	583
725	1540	581
726	1541	578
727	1543	576
728	1544	574
729	1546	572
730	1548	569
731	1549	567
732	1551	565
733	1552	562
734	1554	560
735	1556	558
736	1557	555
737	1559	553
738	1560	551
739	1562	548
740	1563	546
741	1565	544
742	1567	542
743	1568	539
744	1570	537
745	1572	535
746	1574	533
747	1576	531
748	1577	528
749	1579	526
750	1580	524
751	1582	521
752	1584	519
753	1585	517
754	1587	515
755	1589	512
756	1590	510
757	1592	508
758	1594	506
759	1595	503
760	1597	501
761	1598	499
762	1600	497
763	1601	494
764	1603	492
765	1605	490
766	1606	488
767	1608	485
768	1610	483
769	1611	481
770	1613	479
771	1614	476
772	1616	474
773	1617	472
774	1619	470
775	1621	468
776	1623	465
777	1625	463
778	1626	461
779	1628	459
780	1629	457
781	1631	454
782	1633	452
783	1634	450
784	1636	448
785	1637	445
786	1639	443
787	1640	441
788	1642	439
789	1643	436
790	1645	434
791	1646	432
792	1648	430
793	1650	428
794	1652	426
795	1653	423
796	1655	421
797	1657	419
798	1658	417
799	1660	415
800	1661	412
801	1663	410
802	1665	408
803	1666	406
804	1668	404
805	1669	401
806	1671	399
807	1672	397
808	1674	395
809	1675	393
810	1677	390
811	1679	388
812	1680	386
813	1682	384
814	1683	382
815	1685	379
816	1686	377
817	1688	375
818	1689	373
819	1691	371
820	1692	369
821	1694	366
822	1696	364
823	1697	362
824	1699	360
825	1700	358
826	1702	356
827	1704	354
828	1705	351
829	1707	349
830	1708	347
831	1710	345
832	1712	343
833	1714	341
834	1716	339
835	1717	336
836	1719	334
837	1720	332
838	1722	330
839	1724	328
840	1726	326
841	1727	324
842	1729	322
843	1731	319
844	1732	317
845	1734	315
846	1735	313
847	1737	311
848	1739	309
849	1741	307
850	1742	305
851	1744	303
852	1745	300
853	1747	298
854	1749	296
855	1750	294
856	1752	292
857	1753	290
858	1755	288
859	1756	286
860	1758	283
861	1760	281
862	1761	279
863	1763	277
864	1764	275
865	1766	273
866	1767	271
867	1769	269
868	1771	267
869	1773	264
870	1775	262
871	1776	260
872	1778	258
873	1779	256
874	1781	254
875	1782	252
876	1785	250
877	1786	248
878	1788	246
879	1789	244
880	1791	241
881	1793	239
882	1794	237
883	1796	235
884	1798	233
885	1799	231
886	1801	229
887	1803	227
888	1804	225
889	1806	223
890	1808	221
891	1809	219
892	1811	217
893	1812	214
894	1814	212
895	1815	210
896	1817	208
897	1818	206
898	1819	204
899	1821	202
900	1822	200
901	1824	198
902	1825	196
903	1826	194
904	1828	191
905	1829	189
906	1831	187
907	1832	185
908	1834	183
909	1835	181
910	1837	179
911	1838	177
912	1839	175
913	1841	173
914	1842	171
915	1844	169
916	1845	167
917	1847	165
918	1848	162
919	1850	160
920	1851	158
921	1852	156
922	1854	154
923	1855	152
